Nom du lieu;Nom du porteur;Adresse mail;Type de porteur;Détail du type de porteur;Adresse;Code postal;Commune;Code INSEE;Numéro de téléphone;Site web;Descriptif;Logo;Photo;Public;Accès;Restrictions d'usage;Tarif(s);Horaires du lundi;Horaires du mardi;Horaires du mercredi;Horaires du jeudi;Horaires du vendredi;Horaires du samedi;Horaires du dimanche;Complément sur les horaires;Ordinateur(s);Tablette(s);Scanner(s);Imprimante(s);Borne(s) CAF;Connexion Wi-Fi;Complément sur les équipements;Formation;Accompagnement individuel;Fourniture d'équipement;Complément sur les services;Compte InfoLocale;Localisation;Clé;Date de saisie;Date d'enregistrement;Date de modification;Services;Équipements;Ordinateur(s) libellé;Tablette(s) libellé;Scanner(s) libellé;Imprimante(s) libellé;Borne(s) CAF libellé;Connexion Wi-Fi libellé;Formation libellé;Accompagnement individuel individuel libellé;Fourniture d'équipement libellé
Pôle emploi Nantes;Pôle emploi;;Institution;;50 boulevard Einstein;44300;Nantes;44109;3949;https://www.pole-emploi.fr/accueil/;L'agence pôle emploi du secteur nord dispose de 8 postes informatiques situés dans le hall de l'agence. Cela permet aux demandeurs d'emploi d'effectuer leurs démarches et recherches d'emploi sur le site de pôle emploi.fr. Actuellement, deux jeunes volontaires en service civique sont présents aux horaires ci-dessus pour faciliter l'utilisation de ces services en ligne.;;;tout public;tram ligne 2 arrêt  René Cassin  Bus 50  arrêt Einstein ou Géraudière;uniquement pour les recherches d'emploi;gratuit;8h30-12h30 12h30-16h30;8h30-12h30 12h30-16h30;8h30-12h30 12h30-16h30;8h30-12h30;8h30-12h30 12h30-15h30;fermé;fermé;;1;0;0;0;0;0;;1;1;0;Propose des formation et accompagne les personnes individuellement sur rendez-vous;;47.263384, -1.568695;XBWL-KK4N;2019-12-02T11:12:20+01:00;2019-12-02T11:12:20+01:00;2019-12-02T11:13:09+01:00;Formation,Accompagnement individuel;Ordinateur(s);Ordinateur(s);;;;;;Formation;Accompagnement individuel;
Regart's;Regart's;a.associationregarts@sfr.fr;Association;;5 rue du Gers;44100;Nantes;44109;0240856327;https://www.associationregartsnantes.org/;C'est un lieu d'accueil ouvert aux parents et aux enfants avec différents pôles d'activités : social, parentalité, jeux, bien-être;;;tout public;tram ligne 1, arrêt lauriers;;4,00 €;9h-12h 14h-18h;9h-12h 14h-18h;9h-12h 14h-18h;9h-12h 14h-18h;9h-12h 14h-18h;fermé;fermé;;1;0;0;0;0;1;;1;1;1;il faut être adhérent à l'association pour bénéficier des ateliers numériques.l'espace numérique est ouvert le vendredi de 9h30 à 11h;;47.205029, -1.604768;DAAQ-TF4J;2019-12-02T11:13:17+01:00;2019-12-02T11:13:17+01:00;2019-12-02T11:13:55+01:00;Formation,Accompagnement individuel,Fourniture d'équipement;Ordinateur(s),Connexion Wi-Fi;Ordinateur(s);;;;;Connexion Wi-Fi;Formation;Accompagnement individuel;Fourniture d'équipement
Médiathéque Marcelle Maurette;Médiathéque Guémené-Penfao;mediatheque@mairie-guemene-penfao.fr;Bibliothèque / Médiathèque;;5 rue Saint Jean;44290;Guémené-Penfao;44067;0240511473;http://mediatheques.redon-agglomeration.bzh/index.php?option=com_content&view=article&id=45:guemene-penfao&catid=14:vos-mediatheques&Itemid=72;;;;tout public;arrêt de bus Saint Jean  ligne 10 et 71;;14€ annuel / gratuit : -18 ans, étudiants, bénéficiaires minima sociaux et demandeurs d'emploi;fermé;14h00-18h30;10h00-12h30 14h00-18h30;16h00-18h00;10h00-12h30 16h00-18h00;10h00-13h00;fermé;;1;0;0;0;0;1;2 postes informatique;0;0;0;;;47.627881, -1.833236;X5RM-SE9Z;2018-12-04T11:47:18+01:00;2019-11-02T15:34:53+01:00;2019-11-02T15:35:10+01:00;;Ordinateur(s),Connexion Wi-Fi;Ordinateur(s);;;;;Connexion Wi-Fi;;;
Médiathèque d'Avessac;Médiathèque d'Avessac;bibliotheque.avessac@orange.fr;Bibliothèque / Médiathèque;;24 rue de Plessé;44460;Assérac;44007;0299910097;http://mediatheques.redon-agglomeration.bzh/index.php?option=com_content&view=article&id=54:avessac&catid=14:vos-mediatheques&Itemid=72;Espace de lecture et d'animation ponctuelle possédant un espace d'accès numérique.;;;tout public;;uniquement adhérents;14€ annuel / gratuit : -18 ans, étudiants, bénéficiaires minima sociaux et demandeurs d'emploi;fermé;16h-18h;10h-12h30 14h30-18h;16h-18h;16h-18h;10h30-12h30;fermé;;1;0;0;0;0;1;;0;0;0;;;47.652412, -1.987026;XZY2-NLJP;2018-12-04T12:07:34+01:00;2018-12-04T12:22:14+01:00;2019-11-02T15:37:12+01:00;;Ordinateur(s),Connexion Wi-Fi;Ordinateur(s);;;;;Connexion Wi-Fi;;;
Pôle emploi Châteaubriant;Pôle emploi Châteaubriant;;Institution;;10 rue d'Ancenis;44110;Châteaubriant;44036;39 46;https://www.pole-emploi.fr/annuaire/chateaubriant-44036;;;;demandeurs d'emploi;arrêt: route d'Ancenis ligne: N7;uniquement les recherches d'emploi;gratuit;8h30-12h30 12h30-16h30;8h30-12h30 12h30-16h30;8h30-12h30 12h30-16h30;8h30-12h30;8h30-12h30 12h30-16h30;fermé;fermé;après-midi sur rendez vous uniquement;1;0;0;1;0;1;;1;1;0;;;47.717581, -1.370723;5LZ8-D88G;2018-05-18T15:46:35+02:00;2018-05-18T16:00:49+02:00;2019-11-02T15:27:07+01:00;Formation,Accompagnement individuel;Ordinateur(s),Imprimante(s),Connexion Wi-Fi;Ordinateur(s);;;Imprimante(s);;Connexion Wi-Fi;Formation;Accompagnement individuel;
Médiatheque de Jans;Médiatheque de Jans;aurelie.genay@cc-chateaubriant-derval.fr;Bibliothèque / Médiathèque;;12 route de Nozay;44170;Jans;44076;0240799515;http://www.biblios-ccsd.net/cms/articleview/id/121;;;;tout public;non;non;gratuit;fermé;fermé;14h00-18h00;16h00-18h00;fermé;14h00-17h00;fermé;;1;0;0;0;0;1;nécessite une inscription pour l'utilisation des ordinateur. Pas de wifi.;0;0;0;;;47.621228, -1.614444;GD9H-DLM4;2018-05-31T12:42:48+02:00;2018-05-31T12:50:37+02:00;2019-11-02T15:32:57+01:00;;Ordinateur(s),Connexion Wi-Fi;Ordinateur(s);;;;;Connexion Wi-Fi;;;
bibliotheque de Vay;bibliotheque de Vay;;Bibliothèque / Médiathèque;;5 rue Principale;44170;Vay;44214;0240795646;http://www.cc-nozay-bibliotheques.fr/index/index/id_profil/1;;;;tout public;;non;tarif -20ans:gratuit tarif +20ans:7€00 habitant CCRN et 10€00 Hors;fermé;fermé;"10h30-12h00
17h00-18h30";fermé;fermé;10h30-12h00;10h30-12h00;horaire modifiable selon les vacance, consulté le site de la bibliothèque pour plus d'information;1;0;0;0;0;1;;0;0;0;;;47.554607, -1.701621;867U-HF53;2018-05-31T12:51:26+02:00;2018-05-31T13:01:54+02:00;2019-11-02T15:33:39+01:00;;Ordinateur(s),Connexion Wi-Fi;Ordinateur(s);;;;;Connexion Wi-Fi;;;
bibliotheque de Nozay;bibliotheque de Nozay;;Bibliothèque / Médiathèque;;21 rue Alexis Letourneau;44170;Nozay;44113;02 40 79 31 65;http://www.cc-nozay-bibliotheques.fr/index/index/id_profil/1;;;;tout public;arrêt gendarmerie : ligne 10,10E et 44;non;-20 Ans :gratuit+20Ans:7€00+20 Hors CCRN:10€00;fermé;16h00-18h30;10h00-12h30 15h00-19h00;fermé;16h00-18h30;10h00-12h30 15h00-17h00;fermé;;1;0;0;0;0;0;6 postes informatiques à disposition;0;0;0;;;47.564546, -1.626442;3ZWJ-HG2S;2018-05-31T13:41:40+02:00;2018-05-31T13:51:17+02:00;2019-11-02T15:33:11+01:00;;Ordinateur(s);Ordinateur(s);;;;;;;;
Bibiothéque de Soulvache;Bibiothéque de Soulvache;biblio.soulvache.ccc@orange.fr;Bibliothèque / Médiathèque;;2 rue de la Brutz, 44660 Soulvache;44660;Soulvache;44200;0240077615;http://www.cc-castelbriantais.fr/reseau-des-bibliotheques;;;;tout public;;;;;;;13h45-16h45;;10h30-12h;fermé;;1;0;0;1;0;1;;0;1;0;;;47.829225, -1.474628;4538-8T7V;2018-05-31T13:32:00+02:00;2018-05-31T13:58:41+02:00;2019-11-02T16:05:12+01:00;Accompagnement individuel;Ordinateur(s),Imprimante(s),Connexion Wi-Fi;Ordinateur(s);;;Imprimante(s);;Connexion Wi-Fi;;Accompagnement individuel;
Bibliothéque de Villepot;Bibliothéque de Villepot;;Bibliothèque / Médiathèque;;rue de la chapelle 44110 Villepôt;44110;Villepot;44218;0240281039;http://www.cc-castelbriantais.fr/reseau-des-bibliotheques;;;;tout public;;;;;10h00-12h00;15h30–17h00;;;10h30–12h00;10h30–12h00;;1;0;0;0;0;1;;0;0;0;;;47.774685, -1.276838;6EH5-4WX5;2018-05-31T15:42:11+02:00;2018-05-31T15:46:32+02:00;2019-11-02T15:27:42+01:00;;Ordinateur(s),Connexion Wi-Fi;Ordinateur(s);;;;;Connexion Wi-Fi;;;
Bibliothèque LOUISFERT;Bibliothèque LOUISFERT;;Bibliothèque / Médiathèque;;4, rue de la République;44110;Louisfert;44085;0240813183;https://castelbriantais.e-sezhame.fr/node/content/nid/14403;;;;tout public;;;;fermé;fermé;9h30-12h30 / 16h-18h;fermé;15h30-17h30;fermé;fermé;;1;0;0;0;0;0;;0;0;0;;;47.676325, -1.434151;AVJF-H4B9;2018-11-28T11:33:58+01:00;2018-11-28T12:19:14+01:00;2019-11-02T15:28:05+01:00;;Ordinateur(s);Ordinateur(s);;;;;;;;
Club informatique Micromédia;Club informatique Micromédia;clubmicromedia@free.fr;Association;;2 rue des quatre vents;44360;Cordemais;44045;0240578981;http://www.micromedia-cordemais.jimdo.com;Un club informatique qui donne des cours collectifs ou individuels;;;demandeurs d'emploi;;;Gratuit pour les demandeur d'emploi et 2,50€ pour le reste du public;;16h30-18h;13h30-18h;16h30-18h;;14h-18h;;;1;0;0;1;0;1;La structure dispose de 24 ordinateurs.;1;1;0;La structure propose des cours collectifs et individuels, ainsi qu'un accompagnement individuel si besoin.;;47.290296, -1.878222;D2X5-XJ2N;2018-12-21T11:18:57+01:00;2018-12-21T11:24:39+01:00;2019-11-02T15:39:11+01:00;Formation,Accompagnement individuel;Ordinateur(s),Imprimante(s),Connexion Wi-Fi;Ordinateur(s);;;Imprimante(s);;Connexion Wi-Fi;Formation;Accompagnement individuel;
Médiathèque de Crossac;Médiathèque intercommunale Pays de Pont-Château Saint-Gildas-des-Bois;bibliocrossac@cc-paysdepontchateau.fr;Bibliothèque / Médiathèque;;impasse des Petits Matelots;44160;Crossac;44050;0240010608;http://www.cc-paysdepontchateau.fr/contacts/bibliotheque-de-crossac-2;;;;tout public;;Avoir une adresse mail pour pouvoir utiliser les ordinateurs;gratuit;;15h30-18h;10h-12h 14h-18h;;;9h30-12h;;;1;1;0;1;0;1;La structure possède 2 ordinateurs mais il faut une adresse mail pour pouvoir l'utiliser.;0;0;0;;;47.411655, -2.172201;FVGT-HH7D;2018-12-21T11:32:48+01:00;2018-12-21T11:43:13+01:00;2019-11-02T15:31:21+01:00;;Ordinateur(s),Tablette(s),Imprimante(s),Connexion Wi-Fi;Ordinateur(s);Tablette(s);;Imprimante(s);;Connexion Wi-Fi;;;
Bibliothèque Anita Conti;Bibliothèque de la Turballe;bibliotheque@laturballe.fr;Bibliothèque / Médiathèque;;place du Marché;44420;La Turballe;44211;0240233328;www.laturballe.fr/info/bibliotheque_anita_conti;;;;tout public;;;0,50€ pour 1/2heure pour les abonnés;fermé;16h-19h;9h-12h 14h-18h;fermé;16h-19h;9h-12h 14h-18h;fermé;Accès imprimante payante (0,15 n/b, 0,40 couleur);1;0;0;1;0;0;3 ordinateurs;0;0;0;;;47.349423, -2.512789;YHZ3-ZLDC;2018-12-21T11:33:24+01:00;2018-12-21T11:49:16+01:00;2019-11-02T15:45:23+01:00;;Ordinateur(s),Imprimante(s);Ordinateur(s);;;Imprimante(s);;;;;
Médiathèque Henri Queffelec;Médiathèque de La Baule;bibliotheque@mairie-labaule.fr;Bibliothèque / Médiathèque;;181 avenue de Lattre de Tassigny;44500;La Baule-Escoublac;44055;0240241881;http://www.labaule.fr/bibliotheque-henri-queffelec;;;;tout public;;La carte de bibliothèque ou signer une charte, et utilisation 1heure par jour;gratuit;;14h15-17h45;10h-12h15 14h15-17h45;;14h15-17h45;10h-12h15 14h15-17h;;;1;1;1;1;0;1;"3 ordinateurs et 3 tablettes, pour l'utilisation: signature d'une charte ou la carte de bibliothèque et 1 heure d'utilisation par jour; impression payante: 0,20€ la photocopie";0;1;0;;;47.284317, -2.402616;TVUA-CZAB;2018-12-21T12:36:51+01:00;2018-12-21T12:43:45+01:00;2019-11-02T15:42:48+01:00;Accompagnement individuel;Ordinateur(s),Tablette(s),Scanner(s),Imprimante(s),Connexion Wi-Fi;Ordinateur(s);Tablette(s);Scanner(s);Imprimante(s);;Connexion Wi-Fi;;Accompagnement individuel;
Médiathèque municipale Barbara;Mairie de Montoir-de Bretagne;mediatheque@montoirdebretagne.fr;Bibliothèque / Médiathèque;;7 rue du Berry;44550;Montoir-de-Bretagne;44103;0240701151;http://www.mediatheque-montoir.fr;;;;tout public;;;gratuit;fermé;15h-18h;10h-12h30 14h-18h;12h-18h;15h-19h;10h-12h30;fermé;;1;1;1;1;0;1;Accès imprimante payante ( 0,15€ la copie);0;1;0;cours numériques à la demande par un médiateur numérique;;47.329511, -2.150717;8TAQ-R95A;2018-12-21T12:46:51+01:00;2018-12-21T12:57:27+01:00;2019-11-02T15:50:06+01:00;Accompagnement individuel;Ordinateur(s),Tablette(s),Scanner(s),Imprimante(s),Connexion Wi-Fi;Ordinateur(s);Tablette(s);Scanner(s);Imprimante(s);;Connexion Wi-Fi;;Accompagnement individuel;
Médiathèque Municipale de Trignac;Médiathèque de Trignac;biblio@mairie-trignac.fr;Bibliothèque / Médiathèque;;rue Emile Combes;44570;Trignac;44210;0240903266;http://www.mairie-trignac.fr/contacts/mediatheque-municipale;;;;tout public;;;gratuit;;15h30-18h;10h-12h 14h-18h;;12h30-18h;10h-12h 14h-17h;;;1;0;0;0;0;1;2 ordinateurs en accès libre.;0;1;0;;;47.320697, -2.188464;89GT-BENY;2018-12-21T15:11:49+01:00;2018-12-21T15:15:16+01:00;2019-11-02T16:05:47+01:00;Accompagnement individuel;Ordinateur(s),Connexion Wi-Fi;Ordinateur(s);;;;;Connexion Wi-Fi;;Accompagnement individuel;
Maison de quartier de l'Immaculée- Beauregard;Maison de quartier de l'Immaculée- Beauregard Saint-Nazaire;mqimmaculee@orange.fr;Association;;le Point du Jour, Route du Chateau de beauregard;44600;Saint-Nazaire;44184;0251101120;http:// www.fmq-saintnazaire.fr/bienvenue/index.php/les-maisons-de-quartier/immaculee-beauregardr;;;;tout public;;;gratuit;14h-19h;9h30-12h 14h-19h;9h30-12h 14h-19h;14h-19h;9h30-12h 14h-18h;;;Mardi matin : Facilitation numerique CAF à l'Immaculée Vendredi matin : Facilitation numerique CAF à Beauregard;1;1;0;1;1;1;2 Ordinateurs 2 accès aux imprimantes 1 tablette 1 borne Caf Accompagnement individuel CAF;1;1;0;Le mardi et le vendredi de 9h30 à 12h : aide administrative et accompagnement point de facilitation numérique à l'Immaculée, sur Rendez-vous.;;47.291551, -2.264324;4GXZ-ZUUR;2018-12-21T15:17:28+01:00;2018-12-21T15:26:27+01:00;2019-11-02T16:01:51+01:00;Formation,Accompagnement individuel;Ordinateur(s),Tablette(s),Imprimante(s),Borne(s) CAF,Connexion Wi-Fi;Ordinateur(s);Tablette(s);;Imprimante(s);Borne(s) CAF;Connexion Wi-Fi;Formation;Accompagnement individuel;
Maison de quartier de Méan- Penhoët;Maison de quartier de Méan- Penhoët Saint-Nazaire;contact@mqmp.fr;Association;;1 rue Emile- Combes;44600;Saint-Nazaire;44184;0240660450;http:// www.fmq-saintnazaire.fr/bienvenue/index.php/les-maisons-de-quartier/mean-penhoet;;;;tout public;;;gratuit;14h-19h;9h-12h 14h-19;9h-12h 14h-19;9h-12h 14h-19;9h-12h 14h 18h;;;;1;0;0;0;1;1;2 Ordinateurs et Wifi;0;1;0;;;47.296267, -2.18909;PTHV-2U9D;2018-12-21T15:35:49+01:00;2018-12-21T15:42:27+01:00;2019-11-02T16:01:51+01:00;Accompagnement individuel;Ordinateur(s),Borne(s) CAF,Connexion Wi-Fi;Ordinateur(s);;;;Borne(s) CAF;Connexion Wi-Fi;;Accompagnement individuel;
Médiathèque Etienne Caux;Médiathèque Etienne Caux Saint-Nazaire;mediatheque@mairie-saintnazaire.fr;Bibliothèque / Médiathèque;;6 rue Auguste Baptiste Lechat;44600;Saint-Nazaire;44184;0244734560;http://www.mediatheque.mairie-saintnazaire.fr;;;;tout public;;;gratuit;;12h-19h;10h-12h 14h-19h;16h-19h;10h -12h 14h-19h;10h -12h 14h-18h;;;1;1;1;1;0;1;Accès libre: 33 Ordinateurs, 10 Tablettes, 2 accès Imprimante-scanners via USB;1;1;0;Logiciels bureautique, accompagnement individuel (sur rendez-vous);;47.279435, -2.217814;CRU5-EYSR;2018-12-21T15:52:06+01:00;2018-12-21T16:13:42+01:00;2019-11-02T16:01:51+01:00;Formation,Accompagnement individuel;Ordinateur(s),Tablette(s),Scanner(s),Imprimante(s),Connexion Wi-Fi;Ordinateur(s);Tablette(s);Scanner(s);Imprimante(s);;Connexion Wi-Fi;Formation;Accompagnement individuel;
Centre médico-social;Centre médico-social;;Institution;;boulevard des prises;44270;Machecoul-Saint-Même;44087;0240785138;;;;;tout public;;;gratuit;9h00-12h15 / 14h00-17h15;9h00-12h15 / 14h00-17h15;9h00-12h15 / 14h00-17h15;9h00-12h15;9h00-12h15 / 14h00-17h15;fermé;fermé;;0;0;0;0;0;0;;0;0;0;;;46.996773, -1.815408;A222-J2U4;2019-10-01T17:00:48+02:00;2019-10-01T17:04:22+02:00;2019-11-02T15:34:36+01:00;;;;;;;;;;;
Pôle Social Pornic;Pôle Social Pornic;;Institution;;1 bis rue Jean Sarment;44210;Pornic;44131;0240829700;;Permanence CAF, AMELI, CARSAT;;;tout public;5 minutes à pied d'un arrêt de bus Lila;;gratuit;9h-12h;fermé;9h-12h 13h45-16h;fermé;fermé;fermé;fermé;;1;0;0;1;0;0;;0;1;0;;;47.124345, -2.111678;8KU5-LF73;2019-01-17T12:53:59+01:00;2019-01-17T13:00:48+01:00;2019-11-02T15:52:03+01:00;Accompagnement individuel;Ordinateur(s),Imprimante(s);Ordinateur(s);;;Imprimante(s);;;;Accompagnement individuel;
Bibliothèque Les mots passants;Communauté de communes du Pays d'Ancenis;biblio.vallonsdelerdre@pays-ancenis.com;Bibliothèque / Médiathèque;;18 avenue Cossé Brissac;44540;Vallons de l'Erdre;44180;0240973726;http://bibliofil.pays-ancenis.fr/;Il s’agit d’une bibliothèque. Vous pouvez venir lire sur place ou emprunter des documents. Vous avez également accès à un point numérique.;;;tout public;;;gratuit;fermé;10h-11h30;10h-11h30 15h-18h;fermé;18h-19h30;10h-11h30;10h-11h30;;1;0;1;1;0;0;Des liseuses sont à disposition du public.;1;0;1;;;47.524929, -1.184532;SCC3-2MVW;2019-01-22T15:12:27+01:00;2019-01-22T15:16:53+01:00;2019-11-02T16:00:42+01:00;Formation,Fourniture d'équipement;Ordinateur(s),Scanner(s),Imprimante(s);Ordinateur(s);;Scanner(s);Imprimante(s);;;Formation;;Fourniture d'équipement
Bibliothèque L'orange bleue;Communauté de communes du Pays d'Ancenis;biblio.riaille@pays-ancenis.com;Bibliothèque / Médiathèque;;rue des Lilas;44440;Riaillé;44144;0240978592;http://bibliofil.pays-ancenis.fr/;Il s’agit d’une bibliothèque. Vous pouvez venir lire sur place ou emprunter des documents. Vous avez également accès à un point numérique.;;;tout public;;;gratuit;fermé;fermé;15h-18h;fermé;16h30-18h30;11h-12h30;11h-12h30;;1;0;1;1;0;0;Des liseuses sont à disposition du public.;1;0;1;;;47.517139, -1.30406;TKDS-DY2J;2019-01-22T15:16:55+01:00;2019-01-22T15:20:14+01:00;2019-11-02T16:13:02+01:00;Formation,Fourniture d'équipement;Ordinateur(s),Scanner(s),Imprimante(s);Ordinateur(s);;Scanner(s);Imprimante(s);;;Formation;;Fourniture d'équipement
Maison de service au public;La poste de Guenrouët;msap.guenrouet@laposte.fr;Institution;;rue de la Roche Buttée;44530;Guenrouet;44068;;;;;;tout public;;;gratuit;14h-17h;9h-12h 14h-16h45;9h-12h 14h-17h;9h-12h 14h-17h;9h-12h 14h-17h;9h-12h;;;1;0;0;0;0;0;;0;1;0;ordinateur réservé aux démarches administratives;;47.517581, -1.95581;J3F9-PH33;2019-01-23T12:45:11+01:00;2019-01-23T12:52:14+01:00;2019-11-02T15:41:18+01:00;Accompagnement individuel;Ordinateur(s);Ordinateur(s);;;;;;;Accompagnement individuel;
Centre Communal d'Action Sociale (CCAS) d'Herbignac;Centre Communal d'Action Sociale (CCAS) d'Herbignac;contact@herbignac;Institution;;1 avenue de la Monneraye;44410;Herbignac;44072;02 40 88 86 94;;;;;;;;;;;;;;;;;0;0;0;0;0;0;;0;0;0;;;47.44923, -2.311824;W5Z3-SVJU;2019-01-29T13:16:54+01:00;2019-01-29T13:18:13+01:00;2019-11-02T15:42:11+01:00;;;;;;;;;;;
Cybercentre Trignac;Cybercentre;atlc.cybercentre@gmail.com;Association;;9 rue Jean Jaures;44570;Trignac;44210;0240006526;http://atlc-cybercentre-trignac.e-monsite.com/;;;;tout public;bus 802;;12€ l'atelier + 8€ cotisation ATLC;10h-12h 14h-18h;10h-12h 12h-13h30 15h-17h;fermé;10h-12h 12h-13h30 15h-17h;17h-19h;fermé;fermé;Pendant les vacances scolaires, le cybercentre est fermé le mardi et le jeudi;1;1;0;1;0;1;ordinateurs équipés uniquement de logiciels libres;1;1;0;10 Ordinateurs, Vidéoprojecteur, Cours Collectif et des Formation;;47.320477, -2.187258;K2BU-M524;2019-11-02T16:05:31+01:00;2019-11-02T16:05:31+01:00;2019-11-02T16:05:37+01:00;Formation,Accompagnement individuel;Ordinateur(s),Tablette(s),Imprimante(s),Connexion Wi-Fi;Ordinateur(s);Tablette(s);;Imprimante(s);;Connexion Wi-Fi;Formation;Accompagnement individuel;
Cybercentre St-Philibert-de-Gd-Lieu;Cybercentre;cybercentre@stphilbert.fr;Institution;;12 rue de l'Abreuvoir;44310;Saint-Philbert-de-Grandlieu;44188;0240780679;http://www.stphilbert.fr/;;;;tout public;;;10€/an : +18 ans / gratuit : -18 ans/demandeurs d'emploi;9h30-12h;14h-18h;fermé;9h30-12h;16h-18h;fermé;fermé;Lundi : priorité aux demandeurs d'emplois;1;0;0;1;0;1;;1;1;0;Une fois par mois : un conseiller Pôle Emploi anime un atelier Inscription obligatoire;;47.038969, -1.640966;95BA-GKMM;2019-11-02T16:03:11+01:00;2019-11-02T16:03:11+01:00;2019-11-02T16:03:18+01:00;Formation,Accompagnement individuel;Ordinateur(s),Imprimante(s),Connexion Wi-Fi;Ordinateur(s);;;Imprimante(s);;Connexion Wi-Fi;Formation;Accompagnement individuel;
Le Passe Muraille;Médiathèque de St Julien de Concelles;mediatheque.lepassemuraille@saintjuliendeconcelles.fr;Bibliothèque / Médiathèque;;5 rue des heurthauds;44450;Saint-Julien-de-Concelles;44169;0240365000;https://www.mediatheque-le-passe-muraille.fr;Espace de lecture et de documentation ayant un service numérique.;;;tout public;;;gratuit;fermé;16h-18h;10h-12h30 14h-18h;fermé;16h-19h;10h-12h30 14h30-17h;10h-12h;;1;0;1;1;0;1;5 postes avec Internet en accès libre / Accès scanner, photocopieuses;0;0;0;Ateliers pour les enfants pendant les vacances scolaires;;47.252977, -1.386508;9G2F-FWQB;2019-11-02T15:56:45+01:00;2019-11-02T15:56:45+01:00;2019-11-02T15:56:58+01:00;;Ordinateur(s),Scanner(s),Imprimante(s),Connexion Wi-Fi;Ordinateur(s);;Scanner(s);Imprimante(s);;Connexion Wi-Fi;;;
Maison de l'emploi Blain;Maison de l'emploi Blain;service.emploi@cc-regionblain.fr;Institution;;7 rue Victor Schoelcher;44130;Blain;44015;0240799901;https://www.pays-de-blain.com/economie-emploi/emploi-et-formation/;Lieu d'information et de formation dans la recherche d'emploi;;;tout public;ligne 11 Plessé - Blain - Nantesligne 71 Blain - Bouvron - Nantes;uniquement pour les recherches d'emploi;gratuit;8h30-12h 14h-17h;8h30-12h 14h-17h;8h30-12h 14h-17h;8h30-12h 14h-17h;8h30-12h;fermé;fermé;;1;0;0;0;0;1;entre 6 et 8 postes à disposition du public;1;0;0;;;47.474115, -1.761429;LYS8-YSW2;;;2019-11-02T15:29:15+01:00;Formation;Ordinateur(s),Connexion Wi-Fi;Ordinateur(s);;;;;Connexion Wi-Fi;Formation;;
Maison de quartier de la Mano;Ecrivain public;bout-des-paves@accoord.fr;Autre;Bénévole;3 rue Eugène Thomas;44300;Nantes;44109;0240401916;;Le bénévole (écrivain public) aide à toute sorte de démarches administratives ( rédactions de courriers, CAF, Pôle emploi, Sécurité sociale, banques, assurances, mutuelles, etc );;;tout public;"tram ligne 2 - bus 96 - chronobus C2 - arrêt "" chêne des anglais """;;gratuit;14h-18h;14h-19h;9h15-12h15;9h15-12h15  14h-18h;9h15-12h15  14h-17h;fermé;fermé;;0;0;0;0;0;0;;0;1;0;;;47.263017, -1.57286;ZL32-6FG3;2019-12-02T11:07:36+01:00;2019-12-02T11:07:36+01:00;2019-12-02T11:08:15+01:00;Accompagnement individuel;;;;;;;;;Accompagnement individuel;
Maison des habitants et du citoyen;ID Numeric;idnumeric.asso@gmail.com;Association;;1 place des lauriers;44100;Nantes;44109;0751673075;http://www.idnumeric.fr/;"Depuis 2014, ID Numéric intervient à l'espace numérique de la Maison des habitants et du Citoyen du quartier Bellevue à Nantes. Cette action s'inscrit dans le cadre du projet "" Grand Bellevue "" élaboré en concertation avec les acteurs de quartiers et les habitants.";;;tout public;tram ligne 1 - arrêt Lauriers;;Le prix de l'inscription à l'association est de 5€ ou 10€ selon un seuil de revenu. Les cours sont aux prix de 2€ ou 4€ par séance en fonction du dit seuil.;10h-12h;10h-12h;fermé;10h-12h;10h-12h;fermé;fermé;;1;1;0;1;0;1;en dehors des ateliers, 6 ordinateurs en accès libre;1;1;0;Accompagnement collectif et individuel personnalisé, initiation possible sur ordinateur, smartphone et tablette, apprentissage des logiciels (Word, Excel,etc.), aide aux e-démarches.;;47.204709, -1.605251;V7B6-64XE;2018-03-23T17:18:34+01:00;2019-12-02T11:08:25+01:00;2019-12-02T11:09:11+01:00;Formation,Accompagnement individuel;Ordinateur(s),Tablette(s),Imprimante(s),Connexion Wi-Fi;Ordinateur(s);Tablette(s);;Imprimante(s);;Connexion Wi-Fi;Formation;Accompagnement individuel;
Médiathèque Geneviève Couteaux;Médiathèque Geneviève Couteau;mediatheque@mairie-clisson.fr;Bibliothèque / Médiathèque;;1 place Jacques Demy;44190;Clisson;44043;0251790085;https://mediatheque-clisson.net;Espace de lecture et documentation offrant un service numérique;;;tout public;proche gare de Clisson;;gratuit;fermé;17h-19h;10h-12h30 15h-18h;fermé;10h-13h30 16h-18h;10h30-12h30 15h-17h;fermé;Du 7 juillet au 31 août: mercredi 15h-19h, vendredi 10h-13h30, samedi 10h30-12h30;1;0;1;1;0;0;3 postes informatiques ouverts au public en accès libre et gratuit. 1 poste pour la consultation d'ouvrage en médiathèque / Possibilité de venir avec son propre matériel, 2 câbles Ethernet mais pas de wifi.;0;0;0;Exposition interactive, semaines à thème;;47.087877, -1.28351;W8EZ-TPSV;;;2019-11-02T15:38:57+01:00;;Ordinateur(s),Scanner(s),Imprimante(s);Ordinateur(s);;Scanner(s);Imprimante(s);;;;;
